CLUE,TITLE,FEN,SOLUTION
White to move.,"Joseph Blackburne vs Herbert Trenchard, Vienna, 1898 ",2k5/p1p1q3/2P3p1/3QP3/7p/7P/1PK3P1/8 w - - 1 0,1. Qg8+ Qd8 2. Qe6+ Kb8 3. Qb3+ Kc8 4. Qb7#
Black to move.,"A Giese vs Alexander Alekhine, Moscow, 1905",2k4r/ppp2p2/2b2B2/7p/6pP/2P1q1bP/PP3N2/R4QK1 b - - 0 1,1... Bh2+ 2. Kxh2 Qf4+ 3. Kg1 Qg3+ 4. Qg2 Qxg2#
White to move.,"Cook vs A Mueller, Bristol, 1906",rnbq1rk1/pp2bp1p/4p1p1/2pp2Nn/5P1P/1P1BP3/PBPP2P1/RN1QK2R w - - 1 0,1. Qxh5 Bxg5 2. Qxh7+ Kxh7 3. hxg5+ Kg8 4. Rh8# 
White to move.,"Franz Jacob vs Jacques Mieses, Dusseldorf, 1908 ",2r2r2/7k/5pRp/5q2/3p1P2/6QP/P2B1P1K/6R1 w - - 1 0,1. Rxh6+ Kxh6 2. Qh4+ Qh5 3. f5+ Kh7 4. Qxh5# 
White to move.,"Akiba Rubinstein vs Rudolf Spielmann, Prague, 1908",5r2/pq4k1/1pp1Qn2/2bp1PB1/3R1R2/2P3P1/P6P/6K1 w - - 1 0,1. Bxf6+ Rxf6 2. Rg4+ Kh7 3. Qg8+ Kh6 4. Rh4# 
White to move.,"Leo Fleischmann vs Savielly Tartakower, St Petersburg, 1909",3nbr2/4q2p/r3pRpk/p2pQRN1/1ppP2p1/2P5/PPB4P/6K1 w - - 1 0,1. Nf7+ Rxf7 2. Rh5+ Kg7 3. Rxg6+ Kf8 4. Qh8# 
Black to move.,"Johannes Esser vs Oldrich Duras, Amsterdam, 1910 ",2rr1k2/5pp1/p2bp3/1p1B4/1PnP2Pq/P1B2P2/2Q1N1P1/R3R1K1 b - - 0 1,1... Bh2+ 2. Kh1 Bg3+ 3. Kg1 Qh2+ 4. Kf1 Ne3# 
White to move.,"Mojsesz Lowtzky vs Anton Olson, Hamburg, 1910 ",5r1k/3q3p/p1pP4/2p2pQ1/r1P3R1/3P4/6PP/1R4K1 w - - 1 0,1. Qf6+ Rxf6 2. Rb8+ Qe8 3. Rxe8+ Rf8 4. Rxf8# 
White to move.,"Oskar Tenner vs H Wegemund, Hamburg, 1910",r1b2r2/p2p1pk1/1qp1pN1p/3nP1p1/2B4Q/3R4/PPP2PPP/2K4R w - - 1 0,1. Qxh6+ Kxh6 2. Rh3+ Kg6 3. Bd3+ Kg7 4. Rh7# 
Black to move.,"Frederick Yates vs Aron Nimzowitsch, Hamburg, 1910 ",8/k2r4/p7/2b1Bp2/P3p3/qp4R1/4QP2/1K6 b - - 0 1,1... Rd1+ 2. Qxd1 Qa2+ 3. Kc1 Ba3+ 4. Bb2 Qxb2# 
White to move.,"W Young vs Frank J Marshall, Pardentown, 1913 ",rnb2b1r/ppp1n1kp/3p1q2/7Q/4PB2/2N5/PPP3PP/R4RK1 w - - 1 0,1. Bh6+ Kg8 2. Rxf6 Ng6 3. Qd5+ Be6 4. Qxe6# 
White to move.,"Dawid Janowski vs Oscar Chajes, New York, 1918 ",r3r3/3R1Qp1/pqb1p2k/1p4N1/8/4P3/Pb3PPP/2R3K1 w - - 1 0,1. g4 g6 2. h4 Rh8 3. Qh7+ Rxh7 4. Rxh7# 
White to move.,"Zoltan Von Balla vs Gyula Breyer, Kaschau, 1918 ",r3k2r/pp3p2/2pQ1Pnp/2P1nqp1/8/1B6/PP3PPP/3RR1K1 w - - 1 0,1. Rxe5+ Qe6 2. Rxe6+ fxe6 3. Qxe6+ Kf8 4. Qf7# 
White to move.,"Efim Bogoljubov vs Rudolf Spielmann, Stockholm, 1919",3rkq1r/1pQ2p1p/p3bPp1/3pR3/8/8/PPP2PP1/1K1R4 w - - 1 0,1. Rdxd5 Rxd5 2. Rxd5 Qd6 3. Qxd6 Bxd5 4. Qe7#
White to move.,"Imre Konig vs Hermann Weiss, Vienna, 1919 ",r2qrk2/p5b1/2b1p1Q1/1p1pP3/2p1nB2/2P1P3/PP3P2/2KR3R w - - 1 0,1. Rh8+ Bxh8 2. Bh6+ Ke7 3. Qh7+ Bg7 4. Qxg7#
White to move.,"Ernst Jacobson vs Heinrich Von Hennig, Goteborg, 1920 ",4b3/pkb5/1pp1Bp2/4pPp1/PP2P2r/2PQBq2/8/2KR4 w - - 1 0,1. Qa6+ Ka8 2. Rd8+ Bb8 3. Rxb8+ Kxb8 4. Qc8#  
White to move.,"Max Euwe vs Carsten, Amsterdam, 1922",2r3k1/4p1nR/p3p1p1/4N3/1p2Q3/1P6/P1Pq4/1K6 w - - 1 0,1. Rxg7+ Kh8 2. Rh7+ Kxh7 3. Qxg6+ Kh8 4. Nf7#
White to move.,"Bjorn Frank vs J Willens, Amsterdam, 1923 ",r1r3k1/pp1q1p1p/4nBpQ/3pP3/1b5P/3B4/P1P3P1/R2K3R w - - 1 0,1. h5 Bc3 2. Qxh7+ Kxh7 3. hxg6+ Kg8 4. Rh8# 
Black to move.,"Frederick Yates vs Aron Nimzowitsch, Carlsbad, 1923",R7/8/2p4k/3pqr1p/6pK/3P4/P5B1/6Q1 b - - 0 1,1... Qf6+ 2. Kg3 Rf3+ 3. Bxf3 Qxf3+ 4. Kh4 Qh3# 
White to move.,"Friedrich Saemisch vs Michael Schlosser, Trautenau, 1924 ",rnbq1bnr/pp1p1p1p/3pk3/3NP1p1/5p2/5N2/PPP1Q1PP/R1B1KB1R w - - 1 0,1. Nd4+ Kxd5 2. Qb5+ Kxd4 3. c3+ Ke4 4. Bd3#  
White to move.,"Friedrich Saemisch vs Rudolf Spielmann, Baden-Baden, 1925",4r3/6kp/ppr3P1/3p4/3Pq3/3nBR2/PP4QP/5R1K w - - 1 0,1. Bh6+ Kxh6 2. Qh3+ Kxg6 3. Rg1+ Qg4 4. Rxg4# 
Black to move.,"Walter Michel vs Akiba Rubinstein, Semmering, 1926 ",8/2Q2pk1/3Pp1p1/1b5p/1p3P1P/1P2PK2/6RP/7q b - - 0 1,1... Qd1+ 2. Re2 Bxe2+ 3. Kg2 Qf1+ 4. Kg3 Qf3# 
White to move.,"Bjorn Nielsen vs Moller Jensen, Herning, 1926 ",rnbq1bkr/pp3p1p/2p3pQ/3N2N1/2B2p2/8/PPPP2PP/R1B1R1K1 w - - 1 0,1. Re8 Nd7 2. Rxd8 cxd5 3. Bxd5 f3 4. Bxf7# 
White to move.,"Anthony Santasiere vs EB Adams, New York, 1926 ",r2q2rk/ppp2p1p/3b1pn1/5R1Q/3P4/2P4N/PP4PP/R1B3K1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh5+ Kg7 3. Bh6+ Kh7 4. Bf8# 
White to move.,"Christoph Schroder vs Alexander Illgen, Dresden, 1926",r4b1r/pppq2pp/2n1b1k1/3n4/2Bp4/5Q2/PPP2PPP/RNB1R1K1 w - - 1 0,1. Rxe6+ Nf6 2. Qe4+ Kh5 3. Be2+ Ng4 4. Qxg4# 
White to move.,"M Noordijk vs Salo Landau, Rotterdam, 1927 ",rnbq1b1r/ppp1pQ1p/1n1p2p1/4P2k/3P4/8/PPP2PPP/RNB1K2R w - - 1 0,1. Qf4 h6 2. g3 Bg4 3. h3 Qd7 4. hxg4#
White to move.,"Erik Andersen vs Wilhelm Hilse, The Hague, 1928 ",r3rk2/5pR1/pp1q1P1p/8/3p3P/P2B4/1P1Q2b1/1K6 w - - 1 0,1. Rg8+ Kxg8 2. Qxg2+ Qg3 3. Qxg3+ Kf8 4. Qg7# 
White to move.,"Albert Becker vs Eduard Glass, Vienna, 1928 ",rk6/N4ppp/Qp2q3/3p4/8/8/5PPP/2R3K1 w - - 1 0,1. Rc8+ Qxc8 2. Qxb6+ Qb7 3. Nc6+ Kc8 4. Qd8#
White to move.,"Kornel Havasi vs William Rivier, Hague, 1928 ",4q1rk/pb2bpnp/2r4Q/1p1p1pP1/4NP2/1P3R2/PBn4P/RB4K1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh3+ Nh5 3. Rxh5+ Kg6 4. Rh6# 
White to move.,"Rudolf Spielmann vs Max Walter, Trencianske Teplice, 1928 ",r2Nqb1r/pQ1bp1pp/1pn1p3/1k1p4/2p2B2/2P5/PPP2PPP/R3KB1R w - - 1 0,1. a4+ Ka5 2. Nxc6+ Bxc6 3. b4+ cxb3 4. Qa6# 
White to move.,"George Thomas vs Vera Menchik, Carlsbad, 1929 ",2r3k1/pp3ppp/1qr2n2/3p1Q2/1P6/P2BP2P/5PP1/2R2RK1 w - - 1 0,1. Qxc8+ Rxc8 2. Rxc8+ Qd8 3. Rxd8+ Ne8 4. Rxe8# 
White to move.,"Edgar Colle vs Victor Soultanbeieff, Liege, 1930",r1b1rk2/ppq3p1/2nbpp2/3pN1BQ/2PP4/7R/PP3PPP/R5K1 w - - 1 0,1. Bxf6 gxf6 2. Ng6+ Kg8 3. Qh8+ Kf7 4. Qh7# 
White to move.,"Andor Lilienthal vs Meir Romm, Paris, 1930",3r1bN1/3p1p1p/pp6/5k2/5P2/P7/1P2PPBq/R2R1K2 w - - 1 0,1. Rd5+ Kxf4 2. e3+ Kg4 3. Nf6+ Kh4 4. Rh5#
Black to move.,"Alexandru Tyroler vs Arpad Vajda, Hamburg, 1930",5rk1/p3R2p/3p2p1/1p1P1P2/2p4q/P1Pn1P2/6P1/R2Q1K1N b - - 0 1,1... Qxh1+ 2. Ke2 Qxg2+ 3. Ke3 Qf2+ 4. Ke4 gxf5# 
White to move.,"Mikhail Botvinnik vs Victor Goglidze, Moscow, 1931 ",2bk4/6b1/2pNp3/r1PpP1P1/P1pP1Q2/2rq4/7R/6RK w - - 1 0,1. Rh8+ Bxh8 2. Qf8+ Kd7 3. Qxc8+ Ke7 4. Qe8#
White to move.,"Herman Steiner vs Vladas Mikenas, Brno, 1931",4r2k/pp2q2b/2p2p1Q/4rP2/P7/1B5P/1P2R1R1/7K w - - 1 0,1. Rxe5 fxe5 2. f6 Qd7 3. Qg7+ Qxg7 4. fxg7# 
Black to move.,"Henry Grob vs Ossip Bernstein, Bern, 1932",7k/6p1/2p3pp/1p4qn/4r3/2Pr2P1/PP2BP1K/1Q3R2 b - - 0 1,1... Rh4+ 2. gxh4 Rh3+ 3. Kxh3 Nf4+ 4. Kh2 Qg2#
White to move.,"Karl Ahues vs Birger Rasmusson, Bad Niendorf, 1934 ",2r2rk1/1b3pp1/4p3/p3P1Q1/1pqP1R2/2P5/PP1B1K1P/R7 w - - 1 0,1. Qxg7+ Kxg7 2. Rg1+ Bg2 3. Rxg2+ Kh7 4. Rh4#
Black to move.,"Walter Henneberger vs Friedrich Saemisch, Bad Liebenwerda, 1934 ",2q2rk1/4r1bp/bpQp2p1/p2Pp3/P3P2P/1NP1B1K1/1P6/R2R4 b - - 0 1,1... Rf3+ 2. Kxf3 Qh3+ 3. Kf2 Qh2+ 4. Kf3 Be2# 
White to move.,"Gideon Stahlberg vs Andor Lilienthal, Moscow, 1935 ",3kn3/p1p2Rp1/1p2q3/7p/7P/5QP1/P6K/8 w - - 1 0,1. Qa8+ Qc8 2. Qd5+ Nd6 3. Qg5+ Ke8 4. Qe7# 
White to move.,"Lajos Steiner vs Vladimir Petrov, Warsaw, 1935 ",4r3/p1r2p1k/1p2pPpp/2qpP3/3R2P1/1PPQ3R/1P5P/7K w - - 1 0,1. Rxh6+ Kxh6 2. Qh3+ Kg5 3. Qe3+ Kh4 4. Qh6# 
Black to move.,"H Christoffersen vs Vladimir Petrov, Munich, 1936 ",6rk/Q2n2rp/5p2/3P4/4P3/2q4P/P5P1/5RRK b - - 0 1,1... Rxg2 2. Qxd7 Qg3 3. Qg7+ Rxg7 4. Rxg2 Qxg2# 
White to move.,"Gideon Stahlberg vs Moishe Lowcki, Jurata, 1937",8/Q7/5pkp/2n1q3/8/1B5P/5PP1/6K1 w - - 1 0,1. Qf7+ Kf5 2. Qh5+ Ke4 3. Qe2+ Kf4 4. Qg4#
White to move.,"Isaac Kashdan vs Charles Jaffe, Boston, 1938 ",rq3kB1/pp1b1p2/4pB1p/4P3/3P3Q/P1n5/5PPP/R5K1 w - - 1 0,1. Qxh6+ Ke8 2. Bxf7+ Kxf7 3. Qg7+ Ke8 4. Qe7# 
White to move.,"Arnold Denker vs A Adams, USA, 1940 ",3r1k1r/p1q2p2/1pp2N1p/n3RQ2/3P4/2p1PR2/PP4PP/6K1 w - - 1 0,1. Nh7+ Rxh7 2. Qxh7 f5 3. Rexf5+ Ke8 4. Rf8# 
White to move.,"Paul Keres vs V Rootare, Tallinn, 1942 ",r3r1k1/ppp2p1p/1b3Bp1/4P3/3P1n2/2PB1N2/PP6/2KR3R w - - 1 0,1. Rxh7 Kxh7 2. Rh1+ Nh5 3. Rxh5+ Kg8 4. Rh8# 
White to move.,"Paul Keres vs Pomar Salamanca, Madrid, 1943",7R/r1p1q1pp/3k4/1p1n1Q2/3N4/8/1PP2PPP/2B3K1 w - - 1 0,1. Rd8+ Qxd8 2. Qe6+ Kc5 3. Nb3+ Kb4 4. Qe4# 
White to move.,"Arnold Denker vs H Klein, USA, 1944 ",3rb1k1/ppq3p1/2p1p1p1/6P1/2Pr3R/1P1Q4/P1B4P/5RK1 w - - 1 0,1. Rh8+ Kxh8 2. Rf8+ Kh7 3. Qh3+ Rh4 4. Qxh4#
White to move.,"Borislav Milic vs Oleg Neikirch, Novi Sad, 1945 ",3r4/pk3pq1/Nb2p2p/3n4/2QP4/6P1/1P3PBP/5RK1 w - - 1 0,1. Rc1 Bc5 2. Qb5+ Bb6 3. Rc7+ Ka8 4. Qc6# 
White to move.,"Tigran V Petrosian vs Rafael Kakiashvili, Tbilisi, 1945",4r2r/5k2/2p2P1p/p2pP1p1/3P2Q1/6PB/1n5P/6K1 w - - 1 0,1. Qd7+ Re7 2. Qxe7+ Kg6 3. Qg7+ Kh5 4. Qf7# 
White to move.,"Isaac Boleslavsky vs Gosta Stoltz, Saltsjobaden, 1948 ",4b3/k1r1q2p/p3p3/3pQ3/2pN4/1R6/P4PPP/1R4K1 w - - 1 0,1. Nc6+ Bxc6 2. Qd4+ Qc5 3. Qxc5+ Ka8 4. Rb8#
White to move.,"Larry Evans vs W Young, Baltimore, 1948 ",r7/p1n2p1R/qp1p1k2/3Pp3/bPp1P3/2P1BBN1/3Q2K1/8 w - - 1 0,1. Bg5+ Kg6 2. Rh6+ Kg7 3. Bf6+ Kg8 4. Rh8# 
White to move.,"Semyon Furman vs Boris Ratner, Vilnius, 1949 ",r3QnR1/1bk5/pp5q/2b5/2p1P3/P7/1BB4P/3R3K w - - 1 0,1. Be5+ Bd6 2. Rg7+ Nd7 3. Qxd7+ Kb8 4. Qxb7# 
Black to move.,"Nikolay Aratovsky vs Vasily Smyslov, Leningrad, 1951",r5k1/1p4pp/2p1p2r/p2nRp2/P2P1P1P/1P3qP1/1BQ2P2/R5K1 b - - 0 1,1... Nxf4 2. Qe4 fxe4 3. gxf4 Rxh4 4. Rh5 Qh1# 
White to move.,"Herman Steiner vs Ludwig Rellstab Sr, Reggio Emilia, 1951",5k2/p2Q1pp1/1b5p/1p2PB1P/2p2P2/8/PP3qPK/8 w - - 1 0,1. Qd6+ Ke8 2. Bd7+ Kd8 3. Bxb5+ Kc8 4. Ba6# 
White to move.,"Friedrich Saemisch vs O Menzinger, Marktoberdorf, 1953 ",2br3k/pp3Pp1/1n2p3/1P2N1pr/2P2qP1/8/1BQ2P1P/4R1K1 w - - 1 0,1. Ng6+ Kh7 2. Nf8+ Kh8 3. Qh7+ Rxh7 4. Ng6# 
White to move.,"Alexander Tolush vs Gosta Stoltz, Bucharest, 1953",3r4/6kp/1p1r1pN1/5Qq1/6p1/PB4P1/1P3P2/6KR w - - 1 0,1. Rxh7+ Kxh7 2. Nf8+ Kg7 3. Qh7+ Kxf8 4. Qf7# 
Black to move.,"Heikki Koskinen vs Fridrik Olafssson, Prague, 1954",5r1k/7p/p2b4/1pNp1p1q/3Pr3/2P2bP1/PP1B3Q/R3R1K1 b - - 0 1,1... Qxh2+ 2. Kxh2 Rh4+ 3. Kg1 Bxg3 4. Bf4 Rh1# 
Black to move.,"Miroslav Filip vs Borislav Milic, Zagreb, 1955",5rk1/pR6/3Q4/2pPnp1p/P3p2q/4P1N1/5Pp1/6K1 b - - 0 1,1... Nf3+ 2. Kxg2 Qh2+ 3. Kf1 Qg1+ 4. Ke2 Qe1#
White to move.,"Bent Larsen vs Suboticanec, Zagreb, 1955 ",r4r1k/pp4R1/3pN1p1/3P2Qp/1q2Ppn1/8/6PP/5RK1 w - - 1 0,1. Rh7+ Kxh7 2. Qe7+ Rf7 3. Qxf7+ Kh6 4. Qg7# 
White to move.,"Vasily Smyslov vs Mario Bertok, Zagreb, 1955",r7/1p3Q2/2kpr2p/p1p2Rp1/P3Pp2/1P3P2/1B2q1PP/3R3K w - - 1 0,1. Rxc5+ Kb6 2. Qc7+ Ka7 3. Rxa5+ Qa6 4. Bd4# 
Black to move.,"E Chukaev vs Mikhail Tal, Tbilisi, 1956",4r1k1/5pbp/3p2p1/1ppP4/pqP5/R4B2/1PQ3PP/1K6 b - - 0 1,1... Re1+ 2. Bd1 Rxd1+ 3. Ka2 Qxa3+ 4. Kxa3 Ra1# 
White to move.,"Miroslav Filip vs Boris De Greif, Portoroz, 1958 ",4k3/R3n2p/4N3/3p1p2/2b2P2/5BP1/4P1K1/2r5 w - - 1 0,1. Bh5+ Ng6 2. Rxh7 Rg1+ 3. Kxg1 Bxe2 4. Bxg6# 
White to move.,"Oscar Panno vs Gedeon Barcza, Munich, 1958",1R4Q1/3nr1pp/3p1k2/5Bb1/4P3/2q1B1P1/5P1P/6K1 w - - 1 0,1. Rf8+ Nxf8 2. Qxf8+ Ke5 3. f4+ Bxf4 4. gxf4# 
White to move.,"Purev Tumurbator vs Emin Duraku, Varna, 1958",r1b2rk1/1p4qp/p5pQ/2nN1p2/2B2P2/8/PPP3PP/2K1R3 w - - 1 0,1. Ne7+ Kh8 2. Nxg6+ Qxg6 3. Qxf8+ Qg8 4. Qxg8#
White to move.,"Abram Zamikhovsky vs Alexander Kostiuchenko, Kiev, 1958",2r2rk1/pp3nbp/2p1bq2/2Pp4/1P1P1PP1/P1NB4/1BQK4/7R w - - 1 0,1. Bxh7+ Kh8 2. Bg8+ Qh6 3. Rxh6+ Bxh6 4. Qh7# 
White to move.,"Lev Polugaevsky vs Gyorgy Szilagyi, Moscow, 1960",r2r4/1p1R3p/5p1k/b1B1Pp2/p4P2/P7/1P5P/1K4R1 w - - 1 0,1. Bf8+ Rxf8 2. Rd3 Be1 3. Rh3+ Bh4 4. Rxh4# 
White to move.,"Mark Taimanov vs Osvaldo Bazan, Buenos Aires, 1960",R4rk1/4r1p1/1q2p1Qp/1pb5/1n5R/5NB1/1P3PPP/6K1 w - - 1 0,1. Ng5 Bxf2+ 2. Kh1 Rxa8 3. Qh7+ Kf8 4. Qh8# 
Black to move.,"Enrico Paoli vs Miroslav Filip, Vienna, 1961",8/4k3/1p2p1p1/pP1pPnP1/P1rPq2p/1KP2R1N/8/5Q2 b - - 0 1,1... Nxd4+ 2. Ka3 Rxa4+ 3. Kxa4 Qc2+ 4. Ka3 Qb3#
White to move.,"Evgeni Vasiukov vs David Bronstein, Baku, 1961",kb3R2/1p5r/5p2/1P1Q4/p5P1/q7/5P2/4RK2 w - - 1 0,1. Rxb8+ Ka7 2. Qd4+ Kxb8 3. Re8+ Kc7 4. Qd8#  
Black to move.,"Paul De Rooi vs Haije Kramer, Beverwijk, 1962",8/1p5k/5pp1/7p/P3qP1K/2Q3PP/8/8 b - - 0 1,1... g5+ 2. Kxh5 Qe2+ 3. Qf3 Qxf3+ 4. g4 Qxh3# 
Black to move.,"Igor Bondarevsky vs Roman Dzindzichashvili, Match, 1962 ",6k1/pp3ppp/4p3/2P3b1/bPP3P1/3K4/P3Q1q1/1R5R b - - 0 1,1... Qg3+ 2. Ke4 Bc6+ 3. Kd4 Bf6+ 4. Qe5 Bxe5#
Black to move.,"Frank Parr vs Robert Wade, Whitby, 1962",r7/2p2p2/3p3k/pR1P1Kb1/3P2pr/B1PB1b2/P4P2/1R6 b - - 0 1,1... g3 2. Bxd6 Bg4+ 3. Ke5 Re8+ 4. Be7 Rxe7#
White to move.,"E Machatschek vs H Springob, corr., 1963",r1bq3Q/pppnk1p1/2n1p1P1/3pPr2/1b1P4/1NP5/PP3PP1/R1B1K3 w Q - 0 1,1. Bg5+ Rf6 2. Bxf6+ gxf6 3. Qg7+ Ke8 4. Qf7# 
White to move.,"Jan-Heim Donner vs Arthur Dunkelblum, Beverwijk, 1964",2rqrb2/p2nk3/bp2pnQp/4B1p1/3P4/P1N5/1P3PPP/1B1RR1K1 w - - 1 0,1. Nd5+ exd5 2. Bxf6+ Kd6 3. Be5+ Ke7 4. Bd6# 
White to move.,"Nona Gaprindashvili vs Liubov Idelchik, Moscow, 1964 ",2r1rk2/1p2qp1R/4p1p1/1b1pP1N1/p2P4/nBP1Q3/P4PPP/R5K1 w - - 1 0,1. Rh8+ Kg7 2. Nxe6+ Kxh8 3. Qh6+ Kg8 4. Qg7# 
White to move.,"Bent Larsen vs Dragoljub Ciric, Belgrade, 1964 ",5nk1/2N2p2/2b2Qp1/p3PpNp/2qP3P/6P1/5P1K/8 w - - 1 0,1. e6 Be8 2. Nxe8 Nxe6 3. Qxf7+ Kh8 4. Qh7# 
Black to move.,"Hans-Jochen Schiffer vs MA Jorde, corr., 1964",r2Bk2r/pb1n1pQ1/3np3/1p2P3/2p3K1/3p4/PP1b1PPP/R4B1R b - - 0 1,1... f5+ 2. Kg3 Ne4+ 3. Kf3 Nef6+ 4. Kg3 f4# 
Black to move.,"Bertus Enklaar vs Michael Basman, Sinaya, 1965 ",6k1/6p1/3r1n1p/p4p1n/P1N4P/2N5/Q2RK3/7q b - - 0 1,1... Ng3+ 2. Ke3 Ng4+ 3. Kf4 Nh5+ 4. Kxf5 Qf3#
White to move.,"Semyon Furman vs Victor Bojarinov, Leningrad, 1965 ",8/p5Qp/1p2q2B/2p2rp1/2P3Pk/2P2P2/P6P/6K1 w - - 1 0,1. Bxg5+ Rxg5 2. Qxh7+ Qh6 3. Qxh6+ Rh5 4. Qxh5# 
White to move.,"Owen Hindle vs PA Sorensen, Bognor Regis, 1965",rq3rk1/1p1bpp1p/3p2pQ/p2N3n/2BnP1P1/5P2/PPP5/2KR3R w - - 1 0,1. Nxe7+ Kh8 2. Rxh5 Nb3+ 3. axb3 gxh5 4. Qf6#
White to move.,"viktor Korchnoi vs Andrei Peterson, Kiev, 1965 ",r2r1n2/pp2bk2/2p1p2p/3q4/3PN1QP/2P3R1/P4PP1/5RK1 w - - 1 0,1. Qg7+ Ke8 2. Qxe7+ Kxe7 3. Rg7+ Ke8 4. Nf6# 
White to move.,"Dragoljub Velimirovic vs Milan Matulovic, Titograd, 1965",1r4k1/3p3R/4p3/2p1P1qp/2P1Q3/1n1B4/6P1/7K w - - 1 0,1. Rh8+ Kf7 2. Qh7+ Qg7 3. Bg6+ Ke7 4. Qxg7#
White to move.,"Kick Langeweg vs Franz Auer, Brunnen, 1966 ",r2r1k2/pbq2pp1/2p1p1p1/1pP1N1P1/6Q1/P6R/1P3P1P/4R1K1 w - - 1 0,1. Nxg6+ Ke8 2. Rxe6+ fxe6 3. Qxe6+ Qe7 4. Qxe7# 
White to move.,"Samuel Reshevsky vs Jan-Hein Donner, Santa Monica, 1966 ",q5k1/1b2R1pp/1p3n2/4BQ2/8/7P/5PPK/4r3 w - - 1 0,1. Rxg7+ Kh8 2. Rxh7+ Kg8 3. Qg6+ Kf8 4. Qf7# 
White to move.,"Vlastimil Hort vs Erkki Havansi, Halle, 1967",1R6/4r1pk/pp2N2p/4nP2/2p5/2P3P1/P2P1K2/8 w - - 1 0,1. Nf8+ Kg8 2. Ng6+ Re8 3. Rxe8+ Kf7 4. Rf8# 
White to move.,"Milan Matulovic vs Enver Bukic, Kraljevo, 1967",r4rk1/p4pp1/7P/2pp4/3Bn3/8/qPP1QP1P/2KR2R1 w - - 1 0,1. h7+ Kh8 2. Bxg7+ Kxh7 3. Qh5+ Kg8 4. Qh8#
White to move.,"Boris Spassky vs Kick Langeweg, Sochi, 1967",r1r2bk1/p4pBp/1p6/3q1N2/n1P5/4R3/P3QPPP/6K1 w - - 1 0,1. Nh6+ Kxg7 2. Qg4+ Kxh6 3. Rh3+ Qh5 4. Rxh5# 
White to move.,"Mark Taimanov vs Eldis Cobo Arteaga, Habana, 1967",3q1r2/2n5/p4pkp/3PrN1p/1pP2Q2/1P4BP/P4PP1/R5K1 w - - 1 0,1. Qxh6+ Kf7 2. Qxh5+ Kg8 3. Qg6+ Kh8 4. Qg7# 
White to move.,"Rafael Vaganian vs Sergey Makarichev, 1967",7R/2rr1kp1/p3p3/1p1q1p2/n4P1Q/P4P2/4B2P/6RK w - - 1 0,1. Rxg7+ Kxg7 2. Qh6+ Kf7 3. Qf8+ Kg6 4. Rh6# 
White to move.,"Vasily Smyslov vs Werner Golz, Polanica Zdroj, 1968",r2q4/1p2N2k/1P3Qp1/pBnpp3/4b1P1/8/P6P/5RK1 w - - 1 0,1. Rf3 Qf8 2. Rh3+ Qh6 3. Qf7+ Kh8 4. Rxh6# 
White to move.,"Jude Acers vs G Berry, San Francisco, 1969 ",rn3k1r/pbpp1Bbp/1p4pN/4P1B1/3n4/2q3Q1/PPP2PPP/2KR3R w - - 1 0,1. Be7+ Kxe7 2. Qg5+ Bf6 3. Qxf6+ Kf8 4. Bxg6#
White to move.,"Dimitar Pelitov vs Georgi Daskalov, Bulgaria, 1969 ",r1q5/2p2k2/p4Bp1/2Nb1N2/p6Q/7P/nn3PP1/R5K1 w - - 1 0,1. Qh7+ Kxf6 2. Qe7+ Kxf5 3. g4+ Kf4 4. Qe3# 
White to move.,"Eugenio Torre vs Noel Craske, Stockholm, 1969 ",r2r1k2/5pRp/pq2pBn1/1p2P2Q/2p4P/2Pn2P1/PP3Pb1/5RK1 w - - 1 0,1. Rg8+ Kxg8 2. Qh6 Qxf2+ 3. Rxf2 Nxf2 4. Qg7# 
White to move.,"Walter Browne vs Marta Kovacs, Sarajevo, 1970 ",6rk/5p1p/5p2/1p2bP2/1P2R2Q/2q1BBPP/5PK1/r7 w - - 1 0,1. Qxh7+ Kxh7 2. Rh4+ Kg7 3. Bh6+ Kh7 4. Bf8#
White to move.,"Gino Celli vs Renato Incelli, corr., 1970 ",1qbk2nr/1pNp2Bp/2n1pp2/8/2P1P3/8/Pr3PPP/R2QKB1R w - - 1 0,1. Nxe6+ Ke7 2. Bf8+ Kf7 3. Qh5+ Kxe6 4. Qd5#
White to move.,"Walter Browne vs Mato Damjanovic, Venice, 1971",5Q1R/3qn1p1/p3p1k1/1pp1PpB1/3r3P/5P2/PPP3K1/8 w - - 1 0,1. Rh6+ gxh6 2. Qf6+ Kh7 3. Qf7+ Kh8 4. Bf6#
White to move.,"Lajos Portisch vs Shimon Kagan, Petropolis, 1973 ",6rk/3b3p/p2b1p2/2pPpP2/2P1B3/1P4q1/P2BQ1PR/6K1 w - - 1 0,1. Rxh7+ Kxh7 2. Qh5+ Kg7 3. Bh6+ Kh7 4. Bf8# 
White to move.,"Mikhail Tal vs Igor Platonov, Dubna, 1973 ",5r1k/1p1b1p1p/p2ppb2/5P1B/1q6/1Pr3R1/2PQ2PP/5R1K w - - 1 0,1. Qh6 Rxg3 2. Bg6 Rxg6 3. fxg6 fxg6 4. Qxf8# 
